Column1
"Adanero,""40.9423902938509,-4.5952181070"""
"Adrada-La,""40.3078250788526,-4.6552716213"""
"Albornos,""40.8315485362208,-4.8786730756"""
"Aldeanueva-de-Santa-Cruz,""40.3758688256374,-5.4261346237"""
"Aldehuela-La,""40.4168102177937,-5.4031266016"""
"Aldeaseca,""41.0446169111461,-4.8005945230"""
"Amavida,""40.5768721491398,-5.0550650052"""
"Arenal-El,""40.2788051355472,-5.0782896218"""
"Arenas-de-San-Pedro,""40.1680866511724,-5.0956712137"""
"Arevalillo,""40.5922948401202,-5.3740813513"""
"CArevalo,""41.0408371024344,-4.7169542634"""
"Aveinte,""40.7864980874336,-4.8333100483"""
"Avellaneda,""40.3876505424819,-5.3851288221"""
"Cavila avila,""40.6686370870955,-4.6606393671"""
"Barco-de-avila-El Barco-de-avila-El,""40.3618004386926,-5.5206282669"""
"Barraco-El Barraco-El,""40.4511896469503,-4.5892181909"""
"Barroman Barroman,""41.0561357795796,-4.9293569445"""
"Becedas Becedas,""40.388744585743,-5.63624064023"""
"Becedillas Becedillas,""40.5552333912964,-5.3130091678"""
"Bercial-de-Zapardiel Bercial-de-Zapardiel,""41.0437576007294,-4.9712648074"""
"Berlanas-Las Berlanas-Las,""40.8045523526722,-4.7659658557"""
"Bernuy-Zapardiel Bernuy-Zapardiel,""40.9691851306388,-4.9350763248"""
"Berrocalejo-de-Aragona Berrocalejo-de-Aragona,""40.6972544967726,-4.5904183489"""
"Blascomillan Blascomillan,""40.8287566833233,-5.1231786281"""
"Blasconuno-de-Matacabras Blasconuno-de-Matacabras,""41.1436757468483,-4.9903710060"""
"Blascosancho Blascosancho,""40.8772446821432,-4.6403074264"""
"Bohodon-El Bohodon-El,""40.917282467509,-4.73101992184"""
"Bohoyo Bohoyo,""40.2945743837037,-5.3983137049"""
"Bonilla-de-la-Sierra Bonilla-de-la-Sierra,""40.5509924330779,-5.2533243221"""
"Brabos Brabos,""40.7603959807117,-4.9266916855"""
"Bularros Bularros,""40.7280786886684,-4.8291405066"""
"Burgohondo Burgohondo,""40.3878412264747,-4.7808797420"""
"Cabezas-de-Alambre Cabezas-de-Alambre,""40.934632884974,-4.83267459016"""
"Cabezas-del-Pozo Cabezas-del-Pozo,""40.9993586540081,-4.9656912825"""
"Cabezas-del-Villar Cabezas-del-Villar,""40.7060395001275,-5.1954868305"""
"Cabizuela Cabizuela,""40.9002257572961,-4.8041259620"""
"Canales Canales,""40.9966859262576,-4.9040809551"""
"Candeleda Candeleda,""40.1703728004275,-5.2865887102"""
"Cantiveros Cantiveros,""40.9557025950991,-4.9521899374"""
"Cardenosa Cardenosa,""40.7396381314018,-4.7257284995"""
"Carrera-La Carrera-La,""40.3545179590545,-5.5621357581"""
"Casas-del-Puerto Casas-del-Puerto,""40.5249905745362,-5.1680811927"""
"Casasola Casasola,""40.6696601824357,-4.8178981666"""
"Casavieja Casavieja,""40.3010724808351,-4.7706023181"""
"Casillas Casillas,""40.3307820944706,-4.5693491111"""
"Castellanos-de-Zapardiel Castellanos-de-Zapardiel,""41.0787356292523,-4.9042937725"""
"Cebreros Cebreros,""40.4526683349079,-4.4343128381"""
"Cepeda-la-Mora Cepeda-la-Mora,""40.44610756943,-5.045810964300"""
"Chamartin Chamartin,""40.7171611297723,-4.9484312564"""
"Cillan Cillan,""40.6999906380257,-4.9891094666"""
"Cisla Cisla,""40.9693725502265,-5.0156092534"""
"Colilla-La Colilla-La,""40.644088648685,-4.75503001703"""
"Collado-de-Contreras Collado-de-Contreras,""40.8832210544485,-4.9287176034"""
"Collado-del-Mon Collado-del-Mon,""40.5529219431315,-5.3614094769"""
"Constanzana Constanzana,""40.92994081079,-4.881759565481"""
"Crespos Crespos,""40.863495188815,-4.96847994900"""
"Cuevas-del-Valle Cuevas-del-Valle,""40.2915365700987,-5.0258863002"""
"Diego-del-Carpio Diego-del-Carpio,""40.6722273599275,-5.3328388698"""
"Donjimeno Donjimeno,""40.961970407649,-4.85035750734"""
"Donvidas Donvidas,""41.0809022100374,-4.8026333192"""
"Espinosa-de-los-Caballeros Espinosa-de-los-Caballeros,""41.0159091656198,-4.6783733211"""
"Flores-de-Avila Flores-de-Avila,""40.9421079966118,-5.0834812545"""
"Fontiveros Fontiveros,""40.9230044042705,-4.9618850872"""
"Fresnedilla Fresnedilla,""40.2389683130417,-4.6533031212"""
"Fresno-El Fresno-El,""40.6239809996973,-4.7494190708"""
"Fuente-el-Sauz Fuente-el-Sauz,""40.9738680616684,-4.8995841582"""
"Fuentes-de-Ano Fuentes-de-Ano,""41.0251190631347,-4.9112696210"""
"Gallegos-de-Altamos Gallegos-de-Altamos,""40.7068192059033,-4.9081403564"""
"Gallegos-de-Sobrinos Gallegos-de-Sobrinos,""40.7019375123228,-5.1411678474"""
"Garganta-del-Villar Garganta-del-Villar,""40.4528718187525,-5.1177069437"""
"Gavilanes Gavilanes,""40.2622160493225,-4.8584340099"""
"Gemuno Gemuno,""40.5898243683697,-4.7740470129"""
"Gil-Garcia Gil-Garcia,""40.2732914449446,-5.5869037356"""
"Gilbuena Gilbuena,""40.4220618365541,-5.5920091537"""
"Gimialcon Gimialcon,""40.869153989175,-5.12703762379"""
"Gotarrendura Gotarrendura,""40.8279137891779,-4.7318031357"""
"Grandes-y-San-Martin Grandes-y-San-Martin,""40.764231633635,-4.96053130161"""
"Guisando Guisando,""40.2149335229598,-5.1409339168"""
"Gutierre-Munoz Gutierre-Munoz,""40.9667576705585,-4.6572749683"""
"Hernansancho Hernansancho,""40.8596712878205,-4.7293782234"""
"Herradon-de-Pinares Herradon-de-Pinares,""40.5870293624046,-4.5364759569"""
"Herreros-de-Suso Herreros-de-Suso,""40.8035471201115,-5.0435095375"""
"Higuera-de-las-Duenas Higuera-de-las-Duenas,""40.2347656937081,-4.6145368302"""
"Hija-de-Dios-La Hija-de-Dios-La,""40.5175651622298,-4.9658938055"""
"Horcajada-La Horcajada-La,""40.4389186109069,-5.4738310783"""
"Horcajo-de-las-Torres Horcajo-de-las-Torres,""41.0634444502959,-5.1108168698"""
"Hornillo-El Hornillo-El,""40.2622495246699,-5.1239689518"""
"Hoyo-de-Pinares-El Hoyo-de-Pinares-El,""40.5070360532091,-4.3982089144"""
"Hoyocasero Hoyocasero,""40.4374142681611,-4.9950272134"""
"Hoyorredondo Hoyorredondo,""40.4644305717246,-5.4120273337"""
"Hoyos-de-Miguel-Munoz Hoyos-de-Miguel-Munoz,""40.3913693904992,-5.0745278789"""
"Hoyos-del-Collado Hoyos-del-Collado,""40.3638375861619,-5.1991942150"""
"Hoyos-del-Espino Hoyos-del-Espino,""40.3409929828218,-5.1761758772"""
"Hurtumpascual Hurtumpascual,""40.6812149351332,-5.1026140712"""
"Junciana Junciana,""40.4157163883458,-5.5652191056"""
"Langa Langa,""41.0038040988467,-4.8542042501"""
"Lanzahita Lanzahita,""40.1905113386177,-4.9334022385"""
"Llanos-de-Tormes-Los Llanos-de-Tormes-Los,""40.3321317828091,-5.4736844533"""
"Losar-del-Barco-El Losar-del-Barco-El,""40.4025518114121,-5.5309382165"""
"Madrigal-de-las-Altas-Torres Madrigal-de-las-Altas-Torres,""41.1057427255609,-5.0193983073"""
"Maello Maello,""40.821119224004,-4.56261968455"""
"Malpartida-de-Corneja Malpartida-de-Corneja,""40.5165243564603,-5.3484835719"""
"Mamblas Mamblas,""41.0077380372384,-5.0232851389"""
"Mancera-de-Arriba Mancera-de-Arriba,""40.7924524369643,-5.1449368467"""
"Manjabalago Manjabalago,""40.6791923158727,-5.0648727903"""
"Marlin Marlin,""40.7143126682739,-4.8242183442"""
"Martiherrero Martiherrero,""40.6823203637688,-4.7849965027"""
"Martinez Martinez,""40.6309238920669,-5.3549695038"""
"Mediana-de-Voltoya Mediana-de-Voltoya,""40.7094168556393,-4.5566623782"""
"Medinilla Medinilla,""40.4539799466661,-5.5946256284"""
"Mengamunoz Mengamunoz,""40.4992192843954,-5.0119410686"""
"Mesegar-de-Corneja Mesegar-de-Corneja,""40.5160141678965,-5.3056413690"""
"Mijares Mijares,""40.2719802046352,-4.8285568506"""
"Mingorria Mingorria,""40.7671932611933,-4.6805346091"""
"Mon-El Mon-El,""40.5589252679934,-5.3962617569"""
"Moncillo Moncillo,""40.5583205383547,-4.8186854240"""
"Muena-de-los-Infanzones Muena-de-los-Infanzones,""40.736602335609,-5.07523681698"""
"Mombeltran Mombeltran,""40.2124548964368,-4.9953464186"""
"Monsalupe Monsalupe,""40.7703099414856,-4.7890762129"""
"Moraleja-de-Matacabras Moraleja-de-Matacabras,""41.1164015862707,-4.9448812849"""
"Munana Munana,""40.6014129938197,-5.0144308467"""
"Munico Munico,""40.7132618073686,-5.0353765137"""
"Munogalindo Munogalindo,""40.5986877943239,-4.9077782659"""
"Munogrande Munogrande,""40.8144922777159,-4.9375164101"""
"Munomer-del-Peco Munomer-del-Peco,""40.8687373081974,-4.8873545429"""
"Munopepe Munopepe,""40.6328269509464,-4.8152766990"""
"Munosancho Munosancho,""40.92098473429,-5.029730141640"""
